SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,HOME_AWAY,POINTS_THRESHOLD,REBOUNDS_THRESHOLD,BLOCKS_THRESHOLD,ASSISTS_THRESHOLD,ROLLING_PTS_AVG,ROLLING_REB_AVG,ROLLING_AST_AVG
22024,1631094,0022400123,"OCT 30, 2024",ORL @ CHI,L,37,12,22,0.545,2,9,0.222,5,7,0.714,0,7,7,4,0,0,4,2,31,-4,1,Paolo Banchero,Away,1,1,0,1,0.0,0.0,0.0
22024,1631094,0022400102,"OCT 28, 2024",ORL vs. IND,W,40,16,26,0.615,3,9,0.333,15,22,0.682,4,9,13,9,1,2,4,4,50,3,1,Paolo Banchero,Home,1,1,1,1,0.0,0.0,0.0
22024,1631094,0022400092,"OCT 26, 2024",ORL @ MEM,L,37,4,12,0.333,1,4,0.25,7,13,0.538,3,4,7,3,1,0,3,3,16,-15,1,Paolo Banchero,Away,1,1,0,1,0.0,0.0,0.0
22024,1631094,0022400077,"OCT 25, 2024",ORL vs. BKN,W,37,4,13,0.308,1,2,0.5,6,11,0.545,1,5,6,9,0,1,0,2,15,3,1,Paolo Banchero,Home,1,1,1,1,0.0,0.0,0.0
22024,1631094,0022400065,"OCT 23, 2024",ORL @ MIA,W,31,12,24,0.5,4,8,0.5,5,6,0.833,4,7,11,3,1,1,0,2,33,42,1,Paolo Banchero,Away,1,1,1,1,29.0,8.8,5.6
22024,1628964,0022400466,"JAN 02, 2025",LAC @ OKC,L,16,5,6,0.833,2,3,0.667,0,0,0.0,1,7,8,0,0,0,2,1,12,-3,1,Mo Bamba,Away,1,1,0,0,0.0,0.0,0.0
22024,1628964,0022400451,"DEC 31, 2024",LAC @ SAS,L,7,1,4,0.25,0,3,0.0,0,0,0.0,1,1,2,1,0,0,0,1,2,-11,1,Mo Bamba,Away,0,0,0,0,0.0,0.0,0.0
22024,1628964,0022400444,"DEC 30, 2024",LAC @ NOP,W,8,1,1,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,2,1,1,Mo Bamba,Away,0,0,0,0,0.0,0.0,0.0
22024,1628964,0022400426,"DEC 27, 2024",LAC vs. GSW,W,12,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,1,0,5,1,Mo Bamba,Home,0,0,1,0,0.0,0.0,0.0
22024,1628964,0022400399,"DEC 23, 2024",LAC @ MEM,W,6,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,3,1,4,0,-14,1,Mo Bamba,Away,0,0,1,0,3.2,3.2,0.2
